,Princeton University,Harvard University,University of Chicago,Yale University,Columbia University,Stanford University,Massachusetts Institute of Technology,Duke University,University of Pennsylvania,Johns Hopkins University,Dartmouth College,California Institute of Technology,Northwestern University,Brown University,Cornell University,Rice University,University of Notre Dame,Vanderbilt University,Washington University in St. Louis,Emory University,Georgetown University,University of California- Berkeley,University of Southern California,Carnegie Mellon University,University of California- Los Angeles,University of Virginia,Tufts University,University of Michigan- Ann Arbor,Wake Forest University,University of North Carolina- Chapel Hill,Boston College,College of William & Mary,University of Rochester,Brandeis University,Georgia Institute of Technology,New York University,Case Western Reserve University,University of California- Santa Barbara,Boston University,Northeastern University,Rensselaer Polytechnic Institute,Tulane University,University of California- Irvine,Lehigh University,University of California- Davis,University of California- San Diego,University of Illinois- Urbana Champaign,University of Miami,University of Wisconsin- Madison,Pennsylvania State University- University Park,Pepperdine University,University of Florida,Villanova University,Ohio State University- Columbus,University of Washington,George Washington University,Southern Methodist University,University of Georgia,University of Texas- Austin,Fordham University,Purdue University-West Lafayette,Syracuse University,University of Connecticut,University of Maryland College Park,Worcester Polytechnic Institute,Clemson University,Yeshiva University,Brigham Young University- Provo,University of Pittsburgh,Rutgers University- New Brunswick,Baylor University,Stevens Institute of Technology,University of Minnesota- Twin Cities,American University,Clark University,Texas A&M University- College Station,University of Massachusetts- Amherst,Virginia Tech,Miami University- Oxford,University of California- Santa Cruz,University of Delaware,Colorado School of Mines,Michigan State University,Texas Christian University,University of Iowa,Binghamton University- SUNY,Indiana University- Bloomington,Marquette University,University of Denver,University of San Diego,University of Tulsa,Florida State University,North Carolina State University- Raleigh,University of Vermont,Drexel University,Saint Louis University,Stony Brook University- SUNY,Auburn University,Loyola University Chicago,SUNY College of Environmental Science and Forestry,University at Buffalo- SUNY,Illinois Institute of Technology,University of Alabama,University of Oregon,University of Tennessee,Rochester Institute of Technology,University of New Hampshire,University of San Francisco,University of South Carolina,Iowa State University,University of Dayton,University of Missouri,University of Nebraska- Lincoln,University of Oklahoma,University of the Pacific,University of Utah,Michigan Technological University,Seton Hall University,Temple University,University of California- Riverside,University of Kansas,University of St Thomas,The Catholic University of America,DePaul University,Duquesne University,Howard University,University of Arizona,Arizona State University- Tempe,Clarkson University,Colorado State University,New School,Hofstra University,University of Kentucky,Kansas State University,Louisiana State University- Baton Rogue,Mercer University,New Jersey Institute of Technology,Rutgers University- Newark,University of Arkansas,University of Cincinnati,University of Mississippi,George Mason University,Oregon State University,Washington State University,Adelphi University,Ohio University,San Diego State University,St John Fisher College,University at Albany- SUNY,University of Texas- Dallas,Illinois State University,Immaculata University,Oklahoma State University,University of California- Merced,University of Illinois- Chicago,University of La Verne,University of Massachusetts- Lowell,Seattle Pacific University,University of Alabama- Birmingham,University of Maryland- Baltimore County,University of Rhode Island,University of South Florida,Biola University,Maryville University of St. Louis,Missouri University of Science & Technology,St. John's University,Virginia Commonwealth University,Union University,University of Hawaii- Manoa,Edgewood College,Florida Institute of Technology,University of Idaho,University of Louisville,University of Wyoming,Ball State University,Lipscomb University,Mississippi State University,Montclair State University,Texas Tech University,University of Central Florida,University of New Mexico,Andrews University,Azusa Pacific University,University of Maine,West Virginia University,Widener University,Kent State University,North Dakota State University,Pace University,Robert Morris University,Suffolk University,University of Hartford,Bowling Green State University,University of Houston,Western Michigan University,Indiana University- Purdue University- Indianapolis,Lesley University,University of Alabama- Huntsville,University of Colarado- Denver,California State University- Fullerton,Central Michigan University,Louisiana Tech University,South Dakota State University,University of Alaska- Fairbanks,University of North Carolina- Charlotte,University of North Dakota,University of South Dakota,East Carolina University,Montana State University,Old Dominion University,University of Missouri- Kansas City,Ashland University,Dallas Baptist University,Northern Illinois University,Nova Southeastern University,Southern Illinois University- Carbondale,University of Montana,Benedictine University,California State University- Fresno,Gardner Webb University,New Mexico State University,Shenandoah University,Tennessee Technological University,University of Massachusetts- Boston,University of Massachusetts- Dartmouth,University of Missouri- St. Louis,University of North Carolina- Greensboro,University of Southern Mississippi,Utah State University
Aerospace Engineering,x,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,x,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,x,,,,,x,,,,x,,,x,x,x,,Exercise Physiology,Biomedical/Medical Engineering,African-American/Black Studies,"Biology/Biological Sciences, General",Computer Science,"Animal Sciences, General",Turf and Turfgrass Management,"City/Urban, Community and Regional Planning","Biology/Biological Sciences, General",Marine Biology and Biological Oceanography,Latin American Studies,Mechanical Engineering,Dairy Science,"Finance, General",Biostatistics,Accounting,Anatomy,"Human Resources Management/Personnel Administration, General","Business/Commerce, General",Biochemistry,"Marketing/Marketing Management, General",,,x,x,,,x,,x,,,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,Neuroscience,Chemical Engineering,American Indian/Native American Studies,Biotechnology,"Computer and Information Sciences, General",Animal/Livestock Husbandry and Production,Architectural and Building Sciences/Technology,Environmental Design/Architecture,Biophysics,Molecular Biochemistry,Women's Studies,Metallurgical Engineering,Food Science,International Business/Trade/Commerce,Botany/Plant Biology,Actuarial Science,Animal Behavior and Ethology,"Marketing/Marketing Management, General",Business/Managerial Economics,Bioinformatics,Organizational Behavior Studies,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Studies,x,x,,x,,,,,,,,,,,,,,,,,,,x,,x,,x,x,x,x,,x,x,,,,,,,,,,,,,,,,x,,,,x,x,,,x,x,,,x,x,,,,,x,,Accounting,"Civil Engineering, General",American/United States Studies/Civilization,Neuroscience,"Education, General","Applied Horticulture/Horticultural Operations, General","City/Urban, Community and Regional Planning","Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)",Botany/Plant Biology,Neuroscience,Biochemistry,Mining and Mineral Engineering,Horse Husbandry/Equine Science and Management,International Finance,Cell Biology and Anatomy,"Business Administration and Management, General",Biochemistry,Organizational Leadership,Construction Management,"Biology/Biological Sciences, General",Communication Studies/Speech Communication and Rhetoric,,,,x,x,x,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African-American Studies,x,x,,x,,,,,,,,,,,,,,,,,,,x,,x,,,x,,x,,x,x,x,,x,,,,,,,,,,,x,,,,,x,,x,x,,x,x,,,,,,,x,,,,"Business Administration and Management, General","Computer Engineering, General","Hispanic-American, Puerto Rican, and Mexican- American/Chicano Studies",Accounting,Elementary Education and Teaching,Farm/Farm and Ranch Management,Environmental Design/Architecture,Biochemistry,"Microbiology, General",Business/Managerial Economics,"Biology/Biological Sciences, General",Nuclear Engineering,Horticultural Science,International Marketing,Developmental Biology and Embryology,Entrepreneurship/Entrepreneurial Studies,Biochemistry/Biophysics and Molecular Biology,Real Estate,"Finance, General","Biomedical Sciences, General",Computer Science,,,x,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,x,,x,"Business/Commerce, General",Construction Engineering,Women's Studies,"Business Administration and Management, General",Junior High/Intermediate/Middle School Education and Teaching,Food Science,"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)",Bioinformatics,Zoology/Animal Biology,"Computer and Information Sciences, General",Biotechnology,Petroleum Engineering,Landscaping and Groundskeeping,Logistics and Materials Management,Epidemiology,"Finance, General",Bioinformatics,Advertising,"Hospitality Administration/Management, General",Biophysics,"Computer and Information Sciences, General",,,,x,,,,,x,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural and Biological Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,x,x,,,,x,,,,,Business/Managerial Economics,"Electrical, Electronics and Communications Engineering",Animal Physiology,"Finance, General",Secondary Education and Teaching,Horse Husbandry/Equine Science and Management,African Studies,"Biology/Biological Sciences, General",Accounting,"Web Page, Digital/Multimedia and Information Resources Design",Entomology,Systems Engineering,Livestock Management,"Marketing/Marketing Management, General","Genetics, General",International Business/Trade/Commerce,"Biology/Biological Sciences, General","Communication, General","Human Resources Management/Personnel Administration, General",Biotechnology,Computer and Information Systems Security,,,x,x,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Business Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,,x,,,x,x,x,,Entrepreneurship/Entrepreneurial Studies,Engineering Physics,Biochemistry,"Management Information Systems, General","English Language and Literature, General",Ornamental Horticulture,African-American/Black Studies,"Biomedical Sciences, General",Accounting Technology/Technician and Bookkeeping,"Education, General",Marine Biology and Biological Oceanography,Applied Mathematics,Plant Nursery Operations and Management,Non-Profit/Public/Organizational Management,Human/Medical Genetics,Logistics and Materials Management,Biophysics,Digital Communication and Media/Multimedia,International Business/Trade/Commerce,Cell/Cellular Biology and Histology,Information Technology,,,,x,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agroecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,Fashion Merchandising,"Engineering, General",Biochemistry/Biophysics and Molecular Biology,"Marketing/Marketing Management, General","Classics and Languages, Literatures and Linguistics, General",Poultry Science,American Indian/Native American Studies,Computational Biology,"Administrative Assistant and Secretarial Science, General",Biomedical/Medical Engineering,Neuroscience,Mathematical Statistics and Probability,"Plant Sciences, General",Real Estate,Immunology,"Management Information Systems, General",Biotechnology,Journalism,International Finance,Ecology,"Modeling, Virtual Environments and Simulation",,,,,,,,,,,,,,,,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Studies,x,,,x,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,x,,,,,x,"Finance, General",Environmental/Environmental Health Engineering,Bioinformatics,Project Management,Comparative Literature,Range Science and Management,Asian Studies/Civilization,Entomology,"Business Administration and Management, General","Computer Engineering, General",Plant Pathology/Phytopathology,"Statistics, General","Soil Science and Agronomy, General",Research and Development Management,"Microbiology, General","Marketing/Marketing Management, General",Botany/Plant Biology,Mass Communication/ Media Studies,Knowledge Management,Evolutionary Biology,Chemistry Teacher Education,,,,,,,x,x,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Bioscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,Financial Planning and Services,Geotechnical Engineering,"Biology/Biological Sciences, General",Real Estate,"Foreign Languages and Literatures, General","Soil Science and Agronomy, General",Gay/Lesbian Studies,"Microbiology, General","Business/Commerce, General","Electrical, Electronics and Communications Engineering",Accounting,Mathematics and Computer Science,Turf and Turfgrass Management,Advertising,Molecular Biology,Computer Science,Cell/Cellular and Molecular Biology,Public Relations/Image Management,"Management Information Systems, General",Marine Biology and Biological Oceanography,Early Childhood Education and Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,x,,x,,x,,,,,,,"Human Resources Management/Personnel Administration, General",Materials Engineering,Biophysics,Taxation,French Language and Literature,Turf and Turfgrass Management,German Studies,Neuroscience,Business/Managerial Economics,"English Language and Literature, General","Business Administration and Management, General",Environmental Science,Viticulture and Enology,Communication Studies/Speech Communication and Rhetoric,Neurobiology and Neurophysiology,"Computer and Information Sciences, General",Ecology and Evolutionary Biology,"Computer and Information Sciences, General","Marketing/Marketing Management, General",Medical Microbiology and Bacteriology,"Education, General",,,,x,x,,,,x,,,,,,,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
